COD;CAUSA
D862;Sarcoidose pulmao c/sarcoidose gangl linfat
D863;Sarcoidose da pele
D868;Sarcoidose outr locais espec e combinados
D869;Sarcoidose NE
D890;Hipergamaglobulinemia policlonal
D891;Crioglobulinemia
D892;Hipergamaglobulinemia NE
D898;Outr transt espec q comprom mec imunit NCOP
D899;Transt NE q comprometem mecanismo imunitario
E000;Sindr defic congen iodo tipo neurologico
E001;Sindr defic congen iodo tipo mixedematoso
E002;Sindr defic congen iodo tipo misto
E009;Sindr da defic congen de iodo NE
E010;Bocio difuso p/defic de iodo
E011;Bocio multinodular p/defic de iodo
E012;Bocio NE p/defic de iodo
E018;Outr transt tireoid afecc assoc rel def iodo
E02;Hipotireoidismo subclinico p/defic de iodo
E030;Hipotireoidismo congen c/bocio difuso
E031;Hipotireoidismo congen s/bocio
E032;Hipotireoidismo dev medic outr subst exogen
E033;Hipotireoidismo pos-infecc
E034;Atrofia da tireoide
E035;Coma mixedematoso
E038;Outr hipotireoidismos espec
E039;Hipotireoidismo NE
E040;Bocio nao-toxico difuso
E041;Bocio nao-toxico uninodular
E042;Bocio nao-toxico multinodular
E048;Outr bocio nao-toxico espec
E049;Bocio nao-toxico NE
E050;Tireotoxicose c/bocio difuso
E051;Tireotoxicose c/bocio toxico uninodular
E052;Tireotoxicose c/bocio toxico multinodular
E053;Tireotoxicose caus p/tec tireoid ectopico
E054;Tireotoxicose facticia
E055;Crise ou tempestade tireotoxica
E058;Outr tireotoxicoses
E059;Tireotoxicose NE
E060;Tireoidite aguda
E061;Tireoidite subaguda
E062;Tireoidite cronica c/tireotoxicose transit
E063;Tireoidite auto-imune
E064;Tireoidite induz p/droga
E065;Outr tireoidites cronicas
E069;Tireoidite NE
E070;Hipersecrecao de calcitonina
E071;Bocio disormonogenico
E078;Outr transt espec da tireoide
E079;Transt NE da tireoide
E100;C/coma
E101;C/cetoacidose
E102;C/compl renais
E103;C/compl oftalmicas
E104;C/compl neurologicas
E105;C/compl circulatorias perifericas
E106;C/outr compl espec
E107;C/complic mult
E108;C/compl NE
E109;S/complic
E110;C/coma
E111;C/cetoacidose
E112;C/compl renais
E113;C/compl oftalmicas
E114;C/compl neurologicas
E115;C/compl circulatorias perifericas
E116;C/outr compl espec
E117;C/complic mult
E118;C/compl NE
E119;S/complic
E120;C/coma
E121;C/cetoacidose
E122;C/compl renais
E123;C/compl oftalmicas
E124;C/compl neurologicas
E125;C/compl circulatorias perifericas
E126;C/outr compl espec
E127;C/complic mult
E128;C/compl NE
E129;S/complic
E130;C/coma
E131;C/cetoacidose
E132;C/compl renais
E133;C/compl oftalmicas
E134;C/compl neurologicas
E135;C/compl circulatorias perifericas
E136;C/outr compl espec
E137;C/complic mult
E138;C/compl NE
E139;S/complic
E140;C/coma
E141;C/cetoacidose
E142;C/compl renais
E143;C/compl oftalmicas
E144;C/compl neurologicas
E145;C/compl circulatorias perifericas
E146;C/outr compl espec
E147;C/complic mult
E148;C/compl NE
E149;S/complic
E15;Coma hipoglicemico nao-diabetico
E160;Hipoglicemia induz p/droga s/coma
E161;Outr hipoglicemia
E162;Hipoglicemia NE
E163;Aumento da secrecao de glucagon
E164;Secrecao anormal de gastrina
E168;Outr transt espec secrecao pancreatica int
E169;Transt NE da secrecao pancreatica interna
E200;Hipoparatireoidismo idiopatico
E201;Pseudohipoparatireoidismo
E208;Outr hipoparatireoidismo
E209;Hipoparatireoidismo NE
E210;Hiperparatireoidismo prim
E211;Hiperparatireoidismo secund NCOP
E212;Outr hiperparatireoidismo
E213;Hiperparatireoidismo NE
E214;Outr transt espec da gland paratireoide
E215;Transt NE da gland paratireoide
E220;Acromegalia e gigantismo hipofisario
E221;Hiperprolactinemia
E222;Sindr secrecao inadeq hormonio antidiuretico
E228;Outr hiperfuncoes da hipofise
E229;Hiperfuncao NE da hipofise
E230;Hipopituitarismo
E231;Hipopituitarismo induz p/droga
E232;Diabetes insipido
E233;Disfuncao hipotalamica NCOP
E236;Outr transt da hipofise
E237;Transt NE da hipofise
E240;Sindr de Cushing dependente da hipofise
E241;Sindr de Nelson
E242;Sindr de Cushing induz p/droga
E243;Sindr do ACTH ectopico
E244;Sindr de pseudo-Cushing induz p/alcool
E248;Outr sindr de Cushing
E249;Sindr de Cushing NE
E250;Transt adrenogen congen assoc defic enzimat
E258;Outr transt adrenogenitais
E259;Transt adrenogenital NE
E260;Hiperaldosteronismo prim
E261;Hiperaldosteronismo secund
E268;Outr hiperaldosteronismo
E269;Hiperaldosteronismo NE
E270;Outr excessos de atividade adrenocortical
E271;Insuf adrenocortical prim
E272;Crise addisoniana
E273;Insuf adrenocortical induz p/drogas
E274;Outr insuf adrenocorticais e as NE
E275;Hiperfuncao adrenomedular
E278;Outr transt espec da supra-renal
E279;Transt NE da supra-renal
E280;Excesso de estrogeno
E281;Excesso de androgenos
E282;Sindr do ovario policistico
E283;Insuf ovariana prim
E288;Outr disfuncao ovariana
E289;Disfuncao ovariana NE
E290;Hiperfuncao testicular
E291;Hipofuncao testicular
E298;Outr disfuncao testicular
E299;Disfuncao testicular NE
E300;Puberdade retardada
E301;Puberdade precoce
E308;Outr transt da puberdade
E309;Transt NE da puberdade
E310;Insuf poliglandular auto-imune
E311;Hiperfuncao poliglandular
E318;Outr disfuncao poliglandular
E319;Disfuncao poliglandular NE
E320;Hiperplasia persistente do timo
E321;Abscesso do timo
E328;Outr doenc do timo
E329;Doenc do timo NE
E340;Sindr carcinoide
E341;Outr hipersecrecao de hormonios intestinais
E342;Secrecao hormonal ectopica NCOP
E343;Nanismo NCOP
E344;Alta estatura constitucional
E345;Sindr de resistencia a androgenos
E348;Outr transt endocrinos espec
E349;Transt endocrino NE
E350;Transt da gland tireoide em doenc COP
E351;Transt das supra-renais em doenc COP
E358;Transt de outr gland endocrinas em doenc COP
E40;Kwashiorkor
E41;Marasmo nutricional
E42;Kwashiorkor marasmatico
E43;Desnutric proteico-calorica grave NE
E440;Desnutric proteico-calorica moderada
E441;Desnutric proteico-calorica leve
E45;Atraso desenv dev desnutric proteico-caloric
E46;Desnutric proteico-calorica NE
E500;Defic de vitamina A c/xerose conjuntival
E501;Defic vitamina c/mancha de Bitot xerose conj
E502;Defic de vitamina A c/xerose da cornea
E503;Defic vitamina A c/ulceracao e xerose cornea
E504;Defic de vitamina A c/ceratomalacia
E505;Defic de vitamina A c/cegueira noturna
E506;Defic vitamina A cicatrizes xeroft cornea
E507;Outr manif oculares dev defic vitamina A
E508;Outr manifestacoes dev defic de vitamina A
E509;Defic NE de vitamina A
E511;Beriberi
E512;Encefalopatia de Wernicke
E518;Outr manifestacoes da defic de tiamina
E519;Defic NE de tiamina
E52;Defic de niacina
E530;Defic de riboflavina
E531;Defic de piridoxina
E538;Defic de outr vitaminas espec do grupo B
E539;Defic NE de vitamina B
E54;Defic de acido ascorbico
E550;Raquitismo ativo
E559;Defic NE de vitamina D
E560;Defic de vitamina E
E561;Defic de vitamina K
E568;Defic de outr vitaminas
E569;Defic vitaminica NE
E58;Defic de calcio da dieta
E59;Defic de selenio da dieta
E60;Defic de zinco da dieta
E610;Defic de cobre
E611;Defic de ferro
E612;Defic de magnesio
E613;Defic de manganes
E614;Defic de cromo
E615;Defic de molibdenio
E616;Defic de vanadio
E617;Defic de mult elementos nutrientes
E618;Defic de outr elementos nutrientes espec
E619;Defic de elementos nutrientes NE
E630;Defic de acido graxo essencial
E631;Desequilibrio constituintes ingest alimentos
E638;Outr defic nutricionais espec
E639;Defic nutricional NE
E640;Sequelas de desnutric proteico-calorica
E641;Sequelas da defic de vitamina A
E642;Sequelas da defic de vitamina C
E643;Sequelas do raquitismo
E648;Sequelas de outr defic nutricionais
E649;Sequelas de defic nutricional NE
E65;Adiposidade localizada
E660;Obesidade dev excesso de calorias
E661;Obesidade induz p/drogas
E662;Obesidade extrema c/hipoventilacao alveolar
E668;Outr obesidade
E669;Obesidade NE
E670;Hipervitaminose A
E671;Hipercarotenemia
E672;Sindr de megavitamina B6
E673;Hipervitaminose D
E678;Outr form espec de hiperalimentacao
E68;Sequelas de hiperalimentacao
E700;Fenilcetonuria classica
E701;Outr hiperfenilalaninemias
E702;Disturbios do metabolismo da tirosina
E703;Albinismo
E708;Outr disturbios metab aminoacidos aromaticos
E709;Disturbio NE metab aminoacidos aromaticos
E710;Doenc da urina em xarope de acer
E711;Outr disturb metab aminoacidos cadeia ramif
E712;Disturbio NE metab aminoacidos cadeia ramif
E713;Disturbios do metabolismo de acidos graxos
E720;Disturbios do transporte de aminoacidos
E721;Disturb metab aminoacidos que contem enxofre
E722;Disturbios do metabolismo do ciclo da ureia
E723;Disturbios metabolismo lisina hidroxilisina
E724;Disturbios do metabolismo da ornitina
E725;Disturbios do metabolismo da glicina
E728;Outr disturbios espec metab aminoacidos
E729;Disturbio NE do metabolismo dos aminoacidos
E730;Defic congen de lactase
E731;Defic secund de lactase
E738;Outr intolerancias a lactose
E739;Intolerancia a lactose NE
E740;Doenc de deposito de glicogenio
E741;Disturbios do metabolismo da frutose
E742;Disturbios do metabolismo da galactose
E743;Outr disturbios absorcao intest carboidratos
E744;Disturbios metab piruvato gliconeogenese
E748;Outr disturbios espec metab carboidratos
E749;Disturbio NE do metabolismo de carboidratos
E750;Gangliosidose GM2
E751;Outr gangliosidoses
E752;Outr esfingolipidoses
E753;Esfingolipidose NE
E754;Lipofuscinose neuronal ceroide
E755;Outr disturbios do deposito de lipides
E756;Disturbio NE do deposito de lipides
E760;Mucopolissacaridose do tipo I
E761;Mucopolissacaridose do tipo II
E762;Outr mucopolissacaridoses
E763;Mucopolissacaridose NE
E768;Outr disturbios metab glicosaminoglicano
E769;Disturbio NE metabolismo glicosaminoglicano
E770;Defeitos modif pos-translac enzimas lisossom
E771;Defeitos na degradacao das glicoproteinas
E778;Outr disturbios metabolismo glicoproteinas
E779;Disturbio NE do metabolismo glicoproteinas
E780;Hipercolesterolemia pura
E781;Hipergliceridemia pura
E782;Hiperlipidemia mista
E783;Hiperquilomicronemia
E784;Outr hiperlipidemias
E785;Hiperlipidemia NE
E786;Defic de lipoproteinas
E788;Outr disturbios metabolismo de lipoproteinas
E789;Disturbio NE do metabolismo de lipoproteinas
E790;Hiperuric s/sinais artrite infl doenc tofos
E791;Sindr de Lesch-Nyhan
E798;Outr disturbios metab purina e pirimidina
E799;Disturbio NE metabolismo purina e pirimidina
E800;Porfiria hereditaria eritropoetica
E801;Porfiria cutanea tard
E802;Outr porfirias
E803;Defeitos da catalase e da peroxidase
E804;Sindr de Gilbert
E805;Sindr da Crigler-Najjar
E806;Outr disturbios metabolismo da bilirrubina
E807;Disturbio NE do metabolismo da bilirrubina
E830;Disturbios do metabolismo do cobre
E831;Doenc do metabolismo do ferro
E832;Disturbios do metabolismo do zinco
E833;Disturbios do metabolismo do fosforo
E834;Disturbios do metabolismo do magnesio
E835;Disturbios do metabolismo do calcio
E838;Outr disturbios do metabolismo mineral
E839;Disturbio NE do metabolismo mineral
E840;Fibrose cistica c/manifestacoes pulmonares
E841;Fibrose cistica c/manifestacoes intestinais
E848;Fibrose cistica c/outr manifestacoes
E849;Fibrose cistica NE
E850;Amiloidose heredofamiliar nao-neuropatica
E851;Amiloidose heredofamiliar neuropatica
E852;Amiloidose heredofamiliar NE
E853;Amiloidose sistemica secund
E854;Amiloidose limitada a orgaos
E858;Outr amiloidoses
E859;Amiloidose NE
E86;Deplecao de volume
E870;Hiperosmolaridade e hipernatremia
E871;Hiposmolaridade e hiponatremia
E872;Acidose
E873;Alcalose
E874;Disturbio misto do equilibrio acido-basico
E875;Hiperpotassemia
E876;Hipopotassemia
E877;Sobrecarga de liquidos
E878;Outr transt equilibrio hidroeletrolit NCOP
E880;Disturbios metab proteinas plasmaticas NCOP
E881;Lipodistrofia NCOP
E882;Lipomatose NCOP
E888;Outr disturbios espec do metabolismo
E889;Disturbio metabolico NE
E890;Hipotireoidismo pos-proced
E891;Hipoinsulinemia pos-proced
E892;Hipoparatireoidismo pos-proced
E893;Hipopituitarismo pos-proced
E894;Insuf ovariana pos-proced
E895;Hipofuncao testicular pos-proced
E896;Hipofuncao adrenocortical pos-proced
E898;Outr transt endocr e metab pos-proced
E899;Transt endocrinos e metab NE pos-proced
E90;Transt nutricionais e metab em doenc COP
F000;Demencia doenc Alzheimer inicio precoce
F001;Demencia doenc Alzheimer inicio tard
F002;Demencia doenc Alzheimer form atipica mista
F009;Demencia NE na doenc de Alzheimer
F010;Demencia vascular de inicio agudo
F011;Demencia p/infartos mult
F012;Demencia vascular subcortical
F013;Demencia vascular mista cortical subcortical
F018;Outr demencia vascular
F019;Demencia vascular NE
F020;Demencia da doenc de Pick
F021;Demencia na doenc de Creutzfeldt-Jakob
F022;Demencia na doenc de Huntington
F023;Demencia na doenc de Parkinson
F024;Demencia na doenc pelo HIV
F028;Demencia em outr doenc espec COP
F03;Demencia NE
F04;Sindr amnes org n ind alcool out subst psic
F050;Delirium nao superposto demencia assim descr
F051;Delirium superposto demencia
F058;Outr delirium
F059;Delirium NE
F060;Alucinose organica
F061;Estado catatonico organico
F062;Transt delirante organico
F063;Transt do humor organicos
F064;Transt da ansiedade organicos
F065;Transt dissociativo organico
F066;Transt de labilidade emocional organico
F067;Transt cognitivo leve
F068;Out trans ment esp dev les disf cer doen fis
F069;Transt ment NE dev lesao disf cereb doen fis
F070;Transt organico da personalidade
F071;Sindr pos-encefalitica
F072;Sindr pos-traum
F078;Out trans org pers comp doen cer lesao disf
F079;Transt org NE pers comp doen cer lesao disf
F09;Transt mental organico ou sintomatico NE
F100;Intox aguda
F101;Uso nocivo p/a saude
F102;Sindr de dependencia
F103;Sindr de abstinencia
F104;Sindr de abstinencia c/delirium
F105;Transt psicotico
F106;Sindr amnesica
F107;Trans psicotico residual instalacao tard
F108;Outr transt mentais ou comport
F109;Transt mental ou comport NE
F110;Intox aguda
F111;Uso nocivo p/a saude
F112;Sindr de dependencia
F113;Sindr de abstinencia
F114;Sindr de abstinencia c/delirium
F115;Transt psicotico
F116;Sindr amnesica
F117;Trans psicotico residual instalacao tard
F118;Outr transt mentais ou comport
F119;Transt mental ou comport NE
F120;Intox aguda
F121;Uso nocivo p/a saude
F122;Sindr de dependencia
F123;Sindr de abstinencia
F124;Sindr de abstinencia c/delirium
F125;Transt psicotico
F126;Sindr amnesica
F127;Trans psicotico residual instalacao tard
F128;Outr transt mentais ou comport
F129;Transt mental ou comport NE
F130;Intox aguda
F131;Uso nocivo p/a saude
F132;Sindr de dependencia
F133;Sindr de abstinencia
F134;Sindr de abstinencia c/delirium
F135;Transt psicotico
F136;Sindr amnesica
F137;Trans psicotico residual instalacao tard
F138;Outr transt mentais ou comport
F139;Transt mental ou comport NE
F140;Intox aguda
F141;Uso nocivo p/a saude
F142;Sindr de dependencia
F143;Sindr de abstinencia
F144;Sindr de abstinencia c/delirium
F145;Transt psicotico
F146;Sindr amnesica
F147;Trans psicotico residual instalacao tard
F148;Outr transt mentais ou comport
F149;Transt mental ou comport NE
F150;Intox aguda
F151;Uso nocivo p/a saude
F152;Sindr de dependencia
F153;Sindr de abstinencia
F154;Sindr de abstinencia c/delirium
F155;Transt psicotico
F156;Sindr amnesica
F157;Trans psicotico residual instalacao tard
F158;Outr transt mentais ou comport
F159;Transt mental ou comport NE
F160;Intox aguda
F161;Uso nocivo p/a saude
F162;Sindr de dependencia
F163;Sindr de abstinencia
F164;Sindr de abstinencia c/delirium
F165;Transt psicotico
F166;Sindr amnesica
F167;Trans psicotico residual instalacao tard
F168;Outr transt mentais ou comport
F169;Transt mental ou comport NE
F170;Intox aguda
F171;Uso nocivo p/a saude
F172;Sindr de dependencia
F173;Sindr de abstinencia
F174;Sindr de abstinencia c/delirium
F175;Transt psicotico
F176;Sindr amnesica
F177;Trans psicotico residual instalacao tard
F178;Outr transt mentais ou comport
F179;Transt mental ou comport NE
F180;Intox aguda
F181;Uso nocivo p/a saude
F182;Sindr de dependencia
F183;Sindr de abstinencia
F184;Sindr de abstinencia c/delirium
F185;Transt psicotico
F186;Sindr amnesica
F187;Trans psicotico residual instalacao tard
F188;Outr transt mentais ou comport
F189;Transt mental ou comport NE
F190;Intox aguda
F191;Uso nocivo p/a saude
F192;Sindr de dependencia
F193;Sindr de abstinencia
F194;Sindr de abstinencia c/delirium
F195;Transt psicotico
F196;Sindr amnesica
F197;Trans psicotico residual instalacao tard
F198;Outr transt mentais ou comport
F199;Transt mental ou comport NE
F200;Esquizofrenia paranoide
F201;Esquizofrenia hebefrenica
F202;Esquizofrenia catatonica
F203;Esquizofrenia indiferenciada
F204;Depressao pos-esquizofrenica
F205;Esquizofrenia residual
F206;Esquizofrenia simples
F208;Outr esquizofrenias
F209;Esquizofrenia NE
F21;Transt esquizotipico
F220;Transt delirante
F228;Outr transt delirantes persistentes
F229;Transt delirante persistente NE
F230;Transt psicot agudo polimorf s/sint esquizof
F231;Transt psicot agudo polimorf c/sint esquizof
F232;Transt psicotico agudo tipo esquizofrenico
F233;Outr transt psicot agudos essenc delirantes
F238;Outr transt psicoticos agudos e transitorios
F239;Transt psicotico agudo e transitorio NE
F24;Transt delirante induz
F250;Transt esquizoafetivo do tipo maniaco
F251;Transt esquizoafetivo do tipo depressivo
F252;Transt esquizoafetivo do tipo misto
F258;Outr transt esquizoafetivos
F259;Transt esquizoafetivo NE
F28;Outr transt psicoticos nao-organicos
F29;Psicose nao-organica NE
F300;Hipomania
F301;Mania s/sint psicoticos
F302;Mania c/sint psicoticos
F308;Outr episodios maniacos
F309;Episodio maniaco NE
F310;Transt afet bipolar episodio atual hipoman
F311;Trans afet bip epis atual man s/sint psicot
F312;Trans afet bip epis atual man c/sint psicot
F313;Trans afet bip epis atual depr leve/ moderad
F314;Trans afet bip atual depr grav s/sint psicot
F315;Trans afet bip atual depr grav c/sint psicot
F316;Transt afetivo bipolar episodio atual misto
F317;Transt afet bipolar atualmente em remissao
F318;Outr transt afetivos bipolares
F319;Transt afetivo bipolar NE
F320;Episodio depressivo leve
F321;Episodio depressivo moderado
F322;Episodio depressivo grave s/sint psicoticos
F323;Episodio depressivo grave c/sint psicoticos
F328;Outr episodios depressivos
F329;Episodio depressivo NE
F330;Transt depressivo recorr episodio atual leve
F331;Transt depress recorr episodio atual moderad
F332;Trans depr recor epis atual grav s/sint psic
F333;Trans depr recor epis atual grav c/sint psic
F334;Transt depress recorr atualmente em remissao
F338;Outr transt depressivos recorrentes
F339;Transt depressivo recorrente s/especificacao
F340;Ciclotimia
F341;Distimia
F348;Outr transt do humor persistentes
F349;Transt do humor persistente NE
F380;Outr transt do humor isolados
F381;Outr transt do humor recorrentes
F388;Outr transt espec do humor
F39;Transt do humor NE
F400;Agorafobia
F401;Fobias sociais
F402;Fobias especificas
F408;Outr transt fobico-ansiosos
F409;Transt fobico-ansioso NE
F410;Transt de panico
F411;Ansiedade generalizada
F412;Transt misto ansioso e depressivo
F413;Outr transt ansiosos mistos
F418;Outr transt ansiosos espec
F419;Transt ansioso NE
F420;Com predom ideias ou ruminacoes obsessivas
F421;Com predom de comport compulsivos
F422;Form mista c/ideias obsess e comport compuls
F428;Outr transt obsessivo-compulsivos
F429;Transt obsessivo-compulsivo NE
F430;Reacao aguda ao stress
F431;Estado de stress pos-traum
F432;Transt de adaptacao
F438;Outr reacoes ao stress grave
F439;Reacao NE a um stress grave
F440;Amnesia dissociativa
F441;Fuga dissociativa
F442;Estupor dissociativo
F443;Estados de transe e de possessao
F444;Transt dissociativos do movimento
F445;Convulsoes dissociativas
F446;Anestesia e perda sensorial dissociativas
F447;Transt dissociativo misto
F448;Outr transt dissociativos
F449;Transt dissociativo NE
F450;Transt de somatizacao
F451;Transt somatoforme indiferenciado
F452;Transt hipocondriaco
F453;Transt neurovegetativo somatoforme
F454;Transt doloroso somatoforme persistente
F458;Outr transt somatoformes
F459;Transt somatoforme NE
F480;Neurastenia
F481;Sindr de despersonalizacao-desrealizacao
F488;Outr transt neuroticos espec
F489;Transt neurotico NE
F500;Anorexia nervosa
F501;Anorexia nervosa atipica
F502;Bulimia nervosa
F503;Bulimia nervosa atipica
F504;Hiperfagia assoc outr disturb psicologicos
F505;Vomitos assoc a outr disturbios psicologicos
F508;Outr transt da alimentacao
F509;Transt de alimentacao NE
F510;Insonia nao-organica
F511;Hipersonia nao-organica
F512;Transt ciclo vigilia-sono dev fat nao-organ
F513;Sonambulismo
F514;Terrores noturnos
F515;Pesadelos
F518;Outr transt do sono dev fat nao-organicos
F519;Transt do sono dev fatores nao-organicos NE
F520;Ausencia ou perda do desejo sexual
F521;Aversao sexual e ausencia de prazer sexual
F522;Falha de resposta genital
F523;Disfuncao orgasmica
F524;Ejaculacao precoce
F525;Vaginismo nao-organico
F526;Dispareunia nao-organica
F527;Apetite sexual excessivo
F528;Outr disfunc sex n dev transt doenc organ
F529;Disfuncao sexual n dev transt doenc organ NE
F530;Transt ment comport leves assoc puerp NCOP
F531;Transt ment comport graves assoc puerp NCOP
F538;Outr transt mentais comport assoc puerp NCOP
F539;Transt mental e comport assoc puerperio NE
F54;Fat psicolog comport assoc doenc transt COP
F55;Abuso de subst que nao produzem dependencia
F59;Sindr comp ass trans func fisio fat fisic NE
F600;Personalidade paranoica
F601;Personalidade esquizoide
F602;Personalidade dissocial
F603;Transt de personalidade c/instab emocional
F604;Personalidade histrionica
F605;Personalidade anancastica
F606;Personalidade ansiosa
F607;Personalidade dependente
F608;Outr transt especificos da personalidade
F609;Transt NE da personalidade
F61;Transt mistos personal outr transt personal
F620;Modif durad personalid apos exper catastr
F621;Modif durad personalid apos doenc psiquiatr
F628;Outr modificacoes duradouras personalidade
F629;Modificacao duradoura da personalidade NE
F630;Jogo patologico
F631;Piromania
F632;Roubo patologico
F633;Tricotilomania
F638;Outr transt dos habitos e dos impulsos
F639;Transt dos habitos e impulsos NE
F640;Transexualismo
F641;Travestismo bivalente
F642;Transt de identidade sexual na infancia
F648;Outr transt da identidade sexual
F649;Transt NE da identidade sexual
F650;Fetichismo
F651;Travestismo fetichista
F652;Exibicionismo
F653;Voyeurismo
F654;Pedofilia
F655;Sadomasoquismo
F656;Transt mult da preferencia sexual
F658;Outr transt da preferencia sexual
F659;Transt da preferencia sexual NE
F660;Transt da maturacao sexual
F661;Orientacao sexual egodistonica
F662;Transt do relacionamento sexual
F668;Outr transt do desenvolv psicossexual
F669;Transt do desenvolv sexual NE
F680;Sint fisicos aument p/fatores psicologicos
F681;Prod delib ou simul sint incapac fisic psic
F688;Outr transt espec personal e comport adulto
F69;Transt personalidade e comport adulto NE
F700;Mencao ausencia de ou compr minimo comport
F701;Compr signif comport req vigilancia ou trat
F708;Outr comprometimentos do comport
F709;S/mencao de compr do comport
F710;Mencao ausencia de ou compr minimo comport
F711;Compr signif comport req vigilancia ou trat
F718;Outr comprometimentos do comport
F719;S/mencao de compr do comport
F720;Mencao ausencia de ou compr minimo comport
F721;Compr signif comport req vigilancia ou trat
F728;Outr comprometimentos do comport
F729;S/mencao de compr do comport
F730;Mencao ausencia de ou compr minimo comport
F731;Compr signif comport req vigilancia ou trat
F738;Outr comprometimentos do comport
F739;S/mencao de compr do comport
F780;Mencao ausencia de ou compr minimo comport
F781;Compr signif comport req vigilancia ou trat
F788;Outr comprometimentos do comport
F789;S/mencao de compr do comport
F790;Mencao ausencia de ou compr minimo comport
F791;Compr signif comport req vigilancia ou trat
F798;Outr comprometimentos do comport
F799;S/mencao de compr do comport
F800;Transt especifico da articulacao da fala
F801;Transt expressivo de linguagem
F802;Transt receptivo da linguagem
F803;Afasia adquir c/epilepsia
F808;Outr transt desenvolv fala ou linguagem
F809;Transt NE do desenvolv da fala ou linguagem
F810;Transt especifico de leitura
F811;Transt especifico da soletracao
F812;Transt especifico habilidade em aritmetica
F813;Transt misto de habilidades escolares
F818;Outr transt do desenvolv habilidade escolar
F819;Transt NE do desenvolv habilidades escolares
F82;Transt especifico do desenvolv motor
F83;Transt especificos misto do desenvolv
F840;Autismo infantil
F841;Autismo atipico
F842;Sindr de Rett
F843;Outr transt desintegrativo da infancia
F844;Transt c/hipercin ass ret ment mov estereot
F845;Sindr de Asperger
F848;Outr transt globais do desenvolv
F849;Transt globais NE do desenvolv
F88;Outr transt do desenvolv psicologico
F89;Transt do desenvolv psicologico NE
F900;Disturbios da atividade e da atencao
F901;Transt hipercinetico de conduta
F908;Outr transt hipercineticos
F909;Transt hipercinetico NE
F910;Disturbio conduta restrito contexto familiar
F911;Disturbio de conduta nao-socializado
F912;Disturbio de conduta do tipo socializado
F913;Disturbio desafiador e de oposicao
F918;Outr transt de conduta
F919;Transt de conduta NE
F920;Disturbio depressivo de conduta
F928;Outr transt mistos da conduta e das emocoes
F929;Transt misto da conduta e das emocoes NE
F930;Transt ligado a angustia de separacao
F931;Transt fobico ansioso da infancia
F932;Disturbio de ansiedade social da infancia
F933;Transt de rivalidade entre irmaos
F938;Outr transt emocionais da infancia
F939;Transt emocional da infancia NE
F940;Mutismo eletivo
F941;Disturbio reativo de vinculacao da infancia
F942;Transt de fixacao da infancia c/desinibicao
F948;Outr transt do funcionamento social infancia
F949;Transt do funcionamento social infancia NE
F950;Tique transitorio
F951;Tique motor ou vocal cronico
F952;Tiques vocais e motores mult combinados
F958;Outr tiques
F959;Tique NE
F980;Enurese orig nao-organica
F981;Encoprese orig nao-organica
F982;Transt de alimentacao na infancia
F983;Pica do lactente ou da crianca
F984;Estereotipias motoras
F985;Gagueira
F986;Linguagem precipitada
F988;Outr trans comp emoc espec c/inic inf adoles
F989;Transt comp emoc NE c/inicio infanc adolesc
F99;Transt mental NE em outr parte
G000;Meningite p/Haemophilus
G001;Meningite pneumococica
G002;Meningite estreptococica
G003;Meningite estafilococica
G008;Outr meningites bacter
G009;Meningite bacter NE
G01;Meningite em doenc bacter COP
G020;Meningite em doenc virais COP
G021;Meningite em micoses
G028;Meningite em outr doenc infecc e parasit COP
G030;Meningite nao-piogenica
G031;Meningite cronica
G032;Meningite recorrente benigna
G038;Meningite dev outr causas espec
G039;Meningite NE
G040;Encefalite aguda disseminada
G041;Paraplegia espastica tropical
G042;Meningoencefalite meningomielite bacter NCOP
G048;Outr encefalites mielites e encefalomielites
G049;Encefalite mielite e encefalomielite NE
G050;Encefal mielit encefalomiel doenc bacter COP
G051;Encefal mielit encefalomiel doenc virais COP
G052;Encef miel encefal out doenc infec paras COP
G058;Encefal mielit encefalomiel outr doenc COP
G060;Abscesso e granuloma intracranianos
G061;Abscesso e granuloma intra-raquidianos
G062;Abscesso extradural e subdural NE
G07;Abscess granul intracran intraspin doenc COP
G08;Flebite tromboflebite intracran intra-raquid
G09;Sequelas doenc inflam sist nerv centr
G10;Doenc de Huntington
G110;Ataxia congen nao-progressiva
G111;Ataxia cerebelar de inicio precoce
G112;Ataxia cerebelar de inicio tard
G113;Ataxia cerebelar c/deficit na reparacao DNA
G114;Paraplegia espastica hereditaria
G118;Outr ataxias hereditarias
G119;Ataxia hereditaria NE
G120;Atrofia muscular espinal infantil tipo I
G121;Outr atrofias musculares espinais hereditar
G122;Doenc do neuronio motor
G128;Outr atrof muscul espinais sindr muscul corr
G129;Atrofia muscular espinal NE
G130;Neuromiopatia e neuropatia paraneoplasicas
G131;Out atrof sist afet sist nerv cent doen neop
G132;Atrof sist q afet prim sist nerv centr mixed
G138;Atr sist q afet sist nerv centr out doen COP
G20;Doenc de Parkinson
G210;Sindr maligna dos neurolepticos
G211;Outr form parkinsonismo secund induz drogas
G212;Parkinsonismo secund dev outr agentes extern
G213;Parkinsonismo pos-encefalitico
G218;Outr form de parkinsonismo secund
G219;Parkinsonismo secund NE
G22;Parkinsonismo em doenc COP
G230;Doenc de Hallervorden-Spatz
G231;Oftalmoplegia supranuclear progressiva
G232;Degeneracao estrionigrica
G238;Outr doenc degenerativas espec ganglios base
